Trader Address,Trader Name,Account Value,Trading Volume (1d),Trading Volume (7d),Trading Volume (1m),Trading Volume (All time),PNL (1d),PNL (7d),PNL (1m),PNL (All time)
0x24de6b77e8bc31c40aa452926daa6bbab7a71b0f,,3230346046,0,0,0,0,811967823.8,0,-500,-500
0xa822a9ceb6d6cb5b565bd10098abcfa9cf18d748,,15844587466,0,0,0,0,587881451.3,227065946.8,0,-500
0xe6111266afdcdf0b1fe8505028cc1f7419d798a7,,1833890195,0,0,0,0,118086644.5,0,0,-500
0x393d0b87ed38fc779fd9611144ae649ba6082109,,874356471,0,0,0,0,84709535.76,28287922.86,0,0
0xe44bd27c9f10fa2f89fdb3ab4b4f0e460da29ea8,,88851367.58,0,0,0,0,9469983.177,0,0,0
0x9eec98d048d06d9cd75318fffa3f3960e081daab,,32366630.36,0,0,548035173,889407436.1,8003459.518,-562930.1714,-24331890.9,21212635.59
0x179f3d11483dafe616d56b32c4ce2562faabbbbb,,79094108.74,0,0,0,0,7951290.408,0,0,0
0x05cafe987297448f21a3c7ae0ae815fddecac655,,76282604.53,0,0,0,0,7501568.452,710530.5336,0,0
0x85530f0ff6496c72a619f37a60f3c1a59077737f,,61527189.93,0,0,0,0,6181889.433,0,0,0
0xbadbb1de95b5f333623ebece7026932fa5039ee6,,19108843.19,0,4033380.26,99882080.48,267756640.8,4760973.712,1556874.539,-1023385.351,28837735.19
0x90b38c5728f184c87ef46479cf7b402d7b98b98a,,61006020.48,0,0,0,0,4713186.24,326691.042,0,0
0x493db0ed7514c975e9abcc110bd40c473b6763e3,,44219515.81,0,0,0,105.31,4710883.864,0,0,54141290.39
0x8888888192a4a0593c13532ba48449fc24c3beda,,50663390.59,0,0,0,0,4695995.557,75415.74499,0,0
0x716bd8d3337972db99995dda5c4b34d954a61d95,,51518555.95,0,0,0,0,4501501.051,0,0,85474738.5
0x4e14fc11f58b64740e66e4b1aa188a4b007c0eab,,49945240.39,0,0,0,152812343.4,4468563.046,0,0,47659061.17
0x0d0707963952f2fba59dd06f2b425ace40b492fe,,53172914.6,0,0,0,0,4365117.92,69015.14905,0,2952492.618
0x75c1e71165f7a0be552cb38bdca42a07f6ee85a6,,42861755.94,0,0,0,0,3869234.481,0,0,0
0x62bc1fe6009388219dd84f9dca37930f6fb6fa22,,42397880.53,0,0,0,0,3827320.965,0,0,3289064.003
0xcfdb74a8c080bb7b4360ed6fe21f895c653efff4,,37382692.11,0,0,0,110954478,3681345.894,376043.3573,0,52189005.46
0xfec495e7432264678175bea68c4d7678944f6635,,36352539.91,0,0,0,0,3654324.043,0,0,0
0xffbd3e51ae0e2c4407434e157965c064f2a11628,,49400343.47,19639100.75,54758475.8,867366389.4,3485226849,3643220.819,3236914.785,-4940465.374,7953166.297
0x082e843a431aef031264dc232693dd710aedca88,,14256693.3,0,0,30058313.56,94724033.94,3626078.443,-160092.2845,-13444256.68,-10909812.36
